Title,Name,Location
[우리에프아이에스] 경력직 직원,우리에프아이에스,서울 마포구
라인프렌즈 2022년 각 부문 수시,라인프렌즈,서울 용산구
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구
2022년 7월 경력사원 (구매),LG에너지솔루션,서울
[기술본부] 데이터거버넌스 엔지니어,Nexon,경기도 성남
클라우드 기술지원 엔지니어,NHN Enterprise,성남 판교역
백엔드 개발자(Python),액스,서울 서초구
2022년 7월 경력사원 (SCM),LG에너지솔루션,서울
[넥슨코리아] 클라우드 시스템 엔지니어,Nexon,경기도 성남
음성합성(TTS) 기술 전문가,에스케이텔레콤,서울 종로구
(신입/인턴) 리서치 사회조사 연구원,리서치앤유,서울 성동구
2022년 7월 LG화학 신입사원 (학/석사),LG화학,서울 영등포구
(인천 송도) 인공지능(AI)분야 Python 개발 인력,애나,인천 연수구
Kafka 담당자 영입,카카오페이,성남 분당구
[LX세미콘] 2022년 7월 R&D Super Rookie,엘엑스세미콘,서울 강남구
빅데이터 플랫폼(인프라) 운영 담당자 영입,카카오페이증권,성남 분당구
[수시 ] 개발 부문별 경력자,SK플래닛 Tacademy,성남 분당구
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구
2022 하반기 1차 신입/경력,에이치엘클레무브,성남 분당구
2022년 상반기 백엔드 개발자,반달소프트,성남 분당구
2022년 7월 경력사원 (제조지능화),LG에너지솔루션,충청북도 청주
[11번가] 데이터 엔지니어 분야,십일번가,서울 중구
[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영,엔아이티서비스,성남 분당구
딥러닝 기반 Computer Vision 개발자,에스케이텔레콤,서울 중구
[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),유한회사 미소,서울
"자율 주행, 로봇 SW 개발자",에바,성남 수정구
[뉴플랫폼기술] 클라우드 엔지니어(보안),한국카카오은행,성남 분당구
[CA] 딥러닝 엔지니어,한국카카오은행,성남 분당구
[글로벌디지털마케팅] 디지털 데이터 분석 및 운영 담당자 정규직,콘센트릭스서비스코리아,성남 분당구
